artist_name,artist_popularity,artist_track_count
!!!,0.07617625313214695,42
!T.O.O.H.!,0.057430923139770364,10
"""14""",0.07178865392471295,4
"""DEMONS""",0.032508069701756806,33
"""Weird Al"" Yankovic",0.13309134172542117,23
#90s Update,0.07490989974752656,3
$NOT,0.12966322353300527,1
$OHO BANI,0.08204417591395766,1
$ilkMoney,0.12966322353300527,1
$tupid Young,0.12966322353300527,1
$uicideboy$,0.9109962242753279,264
&ME,0.061884720322570703,24
&lez,0.08204417591395766,1
'68,0.0662664497766581,6
'Come From Away' Company,0.15743092313977033,10
'Imisi,0.06891710776772443,5
'In The Heights' Original Broadway Company,0.161866421486657,3
'Legally Blonde' Ensemble,0.16922398609968686,2
(DOLCH),0.07490989974752656,3
(G)I-DLE,0.36807319235482777,20
(Hed) P.E.,0.03308050690285035,153
(Person) (Noun),0.07831489519059595,2
*NSYNC,0.25412829063320574,34
+44,0.20372508164221548,13
-M-,0.08587141262169291,35
...And Oceans,0.043073192354827775,20
...And You Will Know Us by the Trail of Dead,0.04862370882487698,36
...But Alive,0.07490989974752656,3
.Sinh,0.1008491738590041,7
.anxious.,0.16867598907832537,8
.ihaveaface,0.12966322353300527,1
.sPout.,0.034458553883862215,30
0.8Syooogeki,0.08204417591395766,1
00110100 01010100,0.08204417591395766,1
009 Sound System,0.032508069701756806,33
015B,0.12009444174816487,11
037 Leo,0.055578312715906804,11
047,0.06153313193546824,8
1 Mile North,0.07831489519059595,2
1 Trait Danger,0.043073192354827775,20
"1,5 кг отличного пюре",0.08204417591395766,1
1.6 Band,0.08204417591395766,1
1.Cuz,0.2053446823562222,3
10 Ft. Ganja Plant,0.10317990747513617,113
10 Rue D'la Madeleine,0.08204417591395766,1
10 Years,0.19573734914143248,45
"10,000 Maniacs",0.07831489519059595,2
10-FEET,0.15467372146467867,17
100 Demons,0.0478591026164753,16
100%,0.06891710776772443,5
100% Pure Poison,0.08204417591395766,1
1000 Homo DJs,0.053841490443534715,12
1000mods,0.07165599195245029,18
102 Boyz,0.12376944064514141,2
108,0.06381213682196707,7
10cc,0.10061966741062461,17
10cm,0.14538212823655183,40
10dens,0.08204417591395766,1
11 Acorn Lane,0.052209930127063965,13
11/5,0.08204417591395766,1
112,0.17445855388386222,30
113,0.17238276138956693,19
116,0.1008491738590041,7
11:11,0.161866421486657,3
11th Hour,0.055578312715906804,11
12 Stones,0.13076741090479402,62
1200 Micrograms,0.024969966582508853,49
1208,0.0478591026164753,16
125 Rue Montmartre,0.07490989974752656,3
127,0.07490989974752656,3
1280 Almas,0.08204417591395766,1
12Vince,0.08204417591395766,1
12th Planet,0.06430255836172034,69
13,0.053841490443534715,12
13 & God,0.08204417591395766,1
13 Candles,0.06891710776772443,5
1349,0.019578723797648988,68
13th Amendment,0.08204417591395766,1
13th Chime,0.03828728209318024,25
13th Floor Elevators,0.05556608498795688,47
14 Iced Bears,0.034458553883862215,30
1415,0.24899732200715224,7
15 Minutes Late,0.052209930127063965,13
15&,0.06153313193546824,8
16 Horsepower,0.034458553883862215,30
16B,0.06891710776772443,5
16BL,0.03241580588325132,64
16Volt,0.02026973757874248,65
175R,0.12966322353300527,1
1782,0.06381213682196707,7
1788-L,0.0506743439468562,14
18 Carat Affair,0.03871252208355008,102
18 Karat,0.08204417591395766,1
1833 AD,0.06381213682196707,7
187 Strassenbande,0.2384553205913796,4
1910 Fruitgum Company,0.046565613356570563,17
1914,0.06153313193546824,8
1919,0.04534020247876608,18
1973,0.08204417591395766,1
1974 A.D,0.06153313193546824,8
1976,0.08204417591395766,1
1991,0.08273172653762469,25
1995,0.13296170336403967,8
1AD7,0.08204417591395766,1
1TEAM,0.12376944064514141,2
1THE9,0.08204417591395766,1
1TYM,0.03745494987376328,26
1nonly,0.3907642564731037,10
1st Impression,0.08204417591395766,1
2 A.M Talk,0.08204417591395766,1
2 AM,0.08204417591395766,1
2 Bad Mice,0.07831489519059595,2
2 Bal,0.07831489519059595,2
2 Best Enemies,0.059411299799762445,9
2 Bit Pie,0.0506743439468562,14
2 Blyga Läppar,0.04534020247876608,18
2 Brothers On The 4th Floor,0.07831489519059595,2
2 Chainz,0.31648085168201984,36
2 Eivissa,0.0662664497766581,6
2 Headed Chang,0.04202262668763685,21
2 In A Room,0.08204417591395766,1
2 LIVE CREW,0.06891710776772443,5
2 Mello,0.08461199304984343,24
2 Pistols,0.11345532059137962,4
2 Sidez,0.0662664497766581,6
